Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"Paper Girls",5,"Now Is Gone","Mystery | Science Fiction",,"Image Comics","Feb 2016",L15,"Feb 03, 2016",2016,,,"Now Is Gone",,2.99,No,,,70985301980000511,2016,"Cliff Chiang",,"Matt Wilson","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",6A,,"Mystery | Science Fiction",,"Image Comics","Jun 2016",L15,"Jun 01, 2016",2016,,,,A,2.99,No,,,70985301980000611,2016,"Cliff Chiang",,"Matt Wilson | Dee Cunniffe","Cliff Chiang","Cliff Chiang",,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",6B,,"Mystery | Science Fiction","2nd Printing","Image Comics",,L15,"Jul 06, 2016",2016,,,,B,2.99,No,,,70985301980000612,,"Cliff Chiang",,"Matt Wilson | Dee Cunniffe",,"Cliff Chiang","Cliff Chiang",,"Cliff Chiang",,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",7,,Mystery,,"Image Comics","Jul 2016",L15,"Jul 06, 2016",2016,,,,,2.99,No,,,70985301980000711,2016,"Cliff Chiang",,"Matt Wilson | Dee Cunniffe","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",8,,"Mystery | Science Fiction",,"Image Comics","Aug 2016",L15,"Aug 03, 2016",2016,,,,,2.99,No,,,70985301980000811,2016,"Cliff Chiang",,"Matt Wilson | Dee Cunniffe","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",9,,"Adventure | Mystery | Science Fiction",,"Image Comics","Sep 2016",L15,"Sep 07, 2016",2016,,,,,2.99,No,,,70985301980000911,2016,"Cliff Chiang",,"Matt Wilson | Dee Cunniffe","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
"Paper Girls",10,"What Is Past Is Epilogue",Mystery,,"Image Comics","Oct 2016",L15,"Oct 05, 2016",2016,,,"What Is Past Is Epilogue",,2.99,No,,,70985301980001011,2016,"Cliff Chiang",,"Matt Wilson | Dee Cunniffe","Cliff Chiang",,,,,,"Brian K. Vaughan | Cliff Chiang",,,,,"Jared K. Fletcher",,,,,,,"Brian K. Vaughan"
Paradigm,3,"An Ideal Grasshopper",,"1st Printing","Image Comics","Nov 2002",L15,"Nov 2002",2002,,,"An Ideal Grasshopper",,,No,,,70985347474600311,2002,"Jeremy Haun",,,,,,,,,"Matthew Cashel | Jeremy Haun",,,,,"Ed Lavallee",,,,,,,"Matthew Cashel"
Patriots,1,Induction,"Action | Adventure","1st Printing","DC Comics","Jan 2000",L13,"Jan 2000",2000,,,Induction,,,No,,,76194121932500111,2000,,"Tom | Ray | Lou","Digital Chameleon",,,,,,,"Brandon Choi | Jonathan Peterson | Michael Ryan","Rachelle Brissenden",,"Randy Elliott",,"Idea & Design Works",,"Michael Ryan",,,,,"Brandon Choi | Jonathan Peterson"
"Patsy Walker, A.K.A. Hellcat!",1A,,Super-Heroes,"Regular Brittney Williams Cover","Marvel Comics","Feb 2016",L05a,"Dec 23, 2015",2015,,,,A,3.99,No,,,75960608407400111,2016,"Brittney L. Williams","She-Hulk (Jennifer Walters) | Son of Satan (Daimon Hellstrom) | Hellcat (Patsy Walker)","Megan Wilson","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Wil Moss | Chris Robinson","Axel Alonso","Brittney L. Williams",,"Clayton Cowles | Joe Sabino",,"Brittney L. Williams",,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",2A,,Super-Heroes,"Regular Brittney Williams Cover","Marvel Comics","Mar 2016",L05a,"Jan 20, 2016",2016,,,,A,3.99,No,,,75960608407400211,2016,"Brittney L. Williams","She-Hulk (Jennifer Walters) | Valkyrie (Brunnhilde) | Spectrum (Monica Rambeau)","Megan Wilson","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Wil Moss | Chris Robinson","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",3A,,Super-Heroes,"Regular Brittney L Williams Cover","Marvel Comics","Apr 2016",L05a,"Feb 24, 2016",2016,,,,A,3.99,No,,,75960608407400311,2016,"Brittney L. Williams","Doctor Strange (Stephen Strange) | Hellcat (Patsy Walker) | Hedy Wolfe","Megan Wilson","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Wil Moss | Chris Robinson","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",4A,,Super-Heroes,,"Marvel Comics","May 2016",L05a,"Mar 23, 2016",2016,,,,A,3.99,No,,,75960608407400411,2016,"Brittney L. Williams",,"Megan Wilson","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Wil Moss | Chris Robinson","Axel Alonso",,,"Virtual Calligraphy | Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",5,,Super-Heroes,,"Marvel Comics","Jun 2016",L05a,"Apr 27, 2016",2016,,,,,3.99,No,,,75960608407400511,2016,"Brittney L. Williams","She-Hulk (Jennifer Walters) | Valkyrie (Brunnhilde) | Hellcat (Patsy Walker)","Megan Wilson","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Wil Moss | Charles Beacham | Chris Robinson","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",6,,Super-Heroes,,"Marvel Comics","Jul 2016",L05a,"May 25, 2016",2016,,,,,3.99,No,,,75960608407400611,2016,"Natasha Allegri","She-Hulk (Jennifer Walters) | Jessica Jones | Hellcat (Patsy Walker)","Natasha Allegri","Brittney L. Williams",,,,,,"Kate Leth | Natasha Allegri","Tom Brevoort | Wil Moss | Charles Beacham","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",7A,,Super-Heroes,,"Marvel Comics","Aug 2016",L05a,"Jun 15, 2016",2016,,,,A,3.99,No,,,75960608407400711,2016,,"She-Hulk (Jennifer Walters) | Luke Cage | Jessica Jones","Megan Wilson","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Wil Moss | Charles Beacham","Axel Alonso","Brittney L. Williams",,"Clayton Cowles",,"Brittney L. Williams",,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",8,,Super-Heroes,,"Marvel Comics","Sep 2016",L05a,"Jul 20, 2016",2016,,,,,3.99,No,,,75960608407400811,2016,"Brittney L. Williams","She-Hulk (Jennifer Walters) | Jubilee (Jubilation Lee) | Hellcat (Patsy Walker)","Rachelle Rosenberg","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Wil Moss","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",9,,Super-Heroes,,"Marvel Comics","Oct 2016",L05a,"Aug 24, 2016",2016,,,,,3.99,No,,,75960608407400911,2016,"Brittney L. Williams","Jubilee (Jubilation Lee) | Son of Satan (Daimon Hellstrom) | Hellcat (Patsy Walker)","Megan Wilson","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Wil Moss | Charles Beacham","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",10A,,Super-Heroes,,"Marvel Comics","Nov 2016",L05a,"Sep 21, 2016",2016,,,,A,3.99,No,,,75960608407401011,2016,"Brittney L. Williams",,"Megan Wilson","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Wil Moss | Jake Thomas | Kathleen Wisneski","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",11A,,Super-Heroes,"Regular Brittney L. Williams Cover","Marvel Comics",,L05a,"Oct 19, 2016",2016,,,,A,3.99,No,,,75960608407401111,,"Brittney L. Williams","Jubilee (Jubilation Lee) | Black Cat (Felicia Hardy) | Hellcat (Patsy Walker)","Rachelle Rosenberg","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Jake Thomas | Kathleen Wisneski","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",12,,Super-Heroes,,"Marvel Comics","Jan 2017",L05a,"Nov 16, 2016",2016,,,,,3.99,No,,,75960608407401211,2017,"Brittney L. Williams","Jubilee (Jubilation Lee) | Black Cat (Felicia Hardy) | Hellcat (Patsy Walker)","Rachelle Rosenberg","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Jake Thomas | Kathleen Wisneski","Axel Alonso",,,"Clayton Cowles",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",13,,Super-Heroes,,"Marvel Comics","Feb 2017",L05a,"Dec 21, 2016",2016,,,,,3.99,No,,,75960608407401311,2017,"Brittney L. Williams","Jubilee (Jubilation Lee) | Black Cat (Felicia Hardy) | Hellcat (Patsy Walker)","Rachelle Rosenberg","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Jake Thomas","Axel Alonso",,,"Cory Petit",,,,,,,"Kate Leth"
"Patsy Walker, A.K.A. Hellcat!",14,,Super-Heroes,,"Marvel Comics","Mar 2017",L05a,"Jan 18, 2017",2017,,,,,3.99,No,,,75960608407401411,2017,"Brittney L. Williams","Jubilee (Jubilation Lee) | Black Cat (Felicia Hardy) | Hellcat (Patsy Walker)","Rachelle Rosenberg","Brittney L. Williams",,,,,,"Kate Leth | Brittney L. Williams","Tom Brevoort | Jake Thomas | Kathleen Wisneski","Axel Alonso",,,"Cory Petit",,,,,,,"Kate Leth"
"Pep Comics",282,,Comedy,"1st Printing","Archie Comic Publications",1973,L18,1973,1973,,,,,,No,,,,1973,,,,,,,,,,,,,,,,,,,,,,
"Peter Cannon: Thunderbolt",2,Skyfall,Adventure,,"DC Comics","Oct 1992",L13,"Oct 1992",1992,,,Skyfall,,1.25,No,,,,1992,,"Elongated Man (Ralph Dibny) | Thunderbolt (Peter Cannon) | Tabu Singh","Gene D'Angelo","José Marzan Jr. | Mike Collins",,,,,,"Mike Collins | José Marzan Jr.","Paul Kupperberg",,"José Marzan Jr.",,"Albert DeGuzman",,"Mike Collins",,,,,"Mike Collins"
"Peter Pan Return to Never-Never Land",1,,Super-Heroes,"1st Printing","Adventure Comics",1991,L18,"Apr 2014",2014,,,,,,No,,,,1991,"David Baldeón","Captain America (Steve Rogers) | Iron Man (Anthony 'Tony' Stark) | Hulk (Robert Bruce Banner)","Jay David Ramos","Mike McKone",,,,,,"Bryan J.L. Glass | David Baldeón | Jordi Tarragona",,,"Jordi Tarragona",,"Joe Sabino",,"David Baldeón",,,,,"Bryan J.L. Glass"
"Peter Parker: Spider-Man",4TPB,"Trials & Tribulations",Super-Heroes,"1st Printing","Marvel Comics","Apr 17, 2003",S03,"Apr 17, 2003",2003,,,"Trials & Tribulations",TPB,,No,,,9780785111504,2003,,"Spider-Man (Peter Parker) | Human Torch (Jonathan 'Johnny' Storm) | May Parker","Transparency Digital","Frank Cho",,,,,,"Paul Jenkins | Mark Buckingham | Wayne Faucher","John Miesegaes | Axel Alonso","Joe Quesada","Wayne Faucher",,"Randy Gentile | Comicraft",,"Mark Buckingham",,,,,"Paul Jenkins"
"Peter Parker: Spider-Man",5TPB,"Senseless Violence",Super-Heroes,"1st Printing","Marvel Comics","Sep 17, 2003",S03,"Sep 17, 2003",2003,,,"Senseless Violence",TPB,,No,,,9780785111719,2003,,"Spider-Man (Peter Parker) | Mr. Fantastic (Reed Richards) | Invisible Woman (Susan Storm Richards)","Studio F | Avalon Studios","John Romita Jr.",,,,,,"Zeb Wells | Michael O'Hare | Francisco Herrera","Jeff Youngquist | John Miesegaes | Jennifer Grünwald | Cory Sedlmeier | Axel Alonso","Joe Quesada","Wayne Faucher | Sam Kieth",,"Randy Gentile",,"Michael O'Hare | Francisco Herrera | Khary Randolph | Sam Kieth",,,,,"Zeb Wells"
"Peter Parker: Spider-Man Annual",1998,"The Night They Killed Big Bear...","Action | Adventure | Super-Heroes",,"Marvel Comics",1998,"BC RAW 02",1998,1998,,,"The Night They Killed Big Bear...",,2.99,No,,,75960604687400111,1998,,"Spider-Man (Peter Parker) | Mary Jane Watson | Elektra (Elektra Natchios)","Christie Scheele",,,"Karl Story",,"Joyce Chin",,"Jack Morelli | Joyce Chin | Andy Lanning","Ralph Macchio","Robert Harras","Andy Lanning",,"Jack Morelli",,"Joyce Chin",,,,,"Jack Morelli"
"Peter Parker: The Spectacular Spider-Man",298A,"Most Wanted, Part 2: Escape Plans",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Dec 20, 2017",2017,"Most Wanted",,"Part 2: Escape Plans",A,,No,,,75960608814029811,,,"Spider-Man (Peter Parker) | Human Torch (Jonathan 'Johnny' Storm) | J. Jonah Jameson Jr.","Jason Keith","Adam Kubert","Morry Jay Hollowell",,,,,"Chip Zdarsky | Adam Kubert | Juan Frigeri","Devin Lewis | Allison Stock | Thomas Groneman | Nick Lowe","Axel Alonso","Adam Kubert | Juan Frigeri",,"Travis Lanham",,"Adam Kubert | Juan Frigeri",,,,,"Chip Zdarsky"
"Peter Parker: The Spectacular Spider-Man",299,"Most Wanted, Part 3: Desperate Measures",Super-Heroes,"1st Printing","Marvel Comics","Mar 2018",L05a,"Jan 17, 2018",2018,"Most Wanted",,"Part 3: Desperate Measures",,,No,,,75960608814029911,2018,,"Spider-Man (Peter Parker) | Human Torch (Jonathan 'Johnny' Storm) | Hawkeye (Clint Barton)","Jason Keith","Marcos Martín",,,,,,"Chip Zdarsky | Adam Kubert | Juan Frigeri","Devin Lewis | Allison Stock | Thomas Groneman | Nick Lowe","C.B. Cebulski","Adam Kubert | Juan Frigeri",,"Travis Lanham",,"Adam Kubert | Juan Frigeri",,,,,"Chip Zdarsky"
"Peter Parker: The Spectacular Spider-Man",300A,"Most Wanted, Showdown / The Canary","Action | Adventure | Super-Heroes","Regular Marcos Martin Cover","Marvel Comics",,L05a,"Feb 28, 2018",2018,"Most Wanted",,"Showdown / The Canary",A,,No,,,75960608814030011,,,"Spider-Man (Peter Parker) | Human Torch (Jonathan 'Johnny' Storm) | Hawkeye (Clint Barton)","Jason Keith | Giada Marchisio","Marcos Martín",,,,,,"Chip Zdarsky | Goran Parlov | Adam Kubert","Devin Lewis | Thomas Groneman | Nick Lowe","C.B. Cebulski","Goran Parlov | Adam Kubert | Chip Zdarsky | Juan Frigeri",,"Travis Lanham",,"Goran Parlov | Adam Kubert | Chip Zdarsky | Juan Frigeri",,,,,"Chip Zdarsky"
"Peter Parker: The Spectacular Spider-Man",302,"Marvel Legacy - Amazing Fantasy, Part 2",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"Mar 28, 2018",2018,"Amazing Fantasy",,"Part 2",,,No,,,75960608814030211,,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Teresa","Jordan Gibson","Joe Quinones",,,,,,"Chip Zdarsky | Joe Quinones | Joe Rivera","Devin Lewis | Thomas Groneman | Nick Lowe","C.B. Cebulski","Joe Rivera",,"Travis Lanham",,"Joe Quinones",,,,,"Chip Zdarsky"
"Peter Parker: The Spectacular Spider-Man",303A,"Amazing Fantasy, pt 3",Super-Heroes,"Regular Joe Quinones Cover","Marvel Comics",,L05a,"Apr 25, 2018",2018,,,"Amazing Fantasy, pt 3",A,3.99,No,,,75960608814030311,,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Teresa","Joe Quinones | Jordan Gibson","Joe Quinones",,,,,,"Chip Zdarsky | Joe Quinones | Paolo Rivera","Devin Lewis | Thomas Groneman | Nick Lowe","C.B. Cebulski","Joe Quinones | Paolo Rivera | Joe Rivera",,"Travis Lanham",,"Joe Quinones",,,,,"Chip Zdarsky"
"Peter Parker: The Spectacular Spider-Man",304,"Marvel Legacy - No More, Part 1",Super-Heroes,"1st Printing","Marvel Comics",,L05a,"May 09, 2018",2018,"No More",,"Part 1",,,No,,,75960608814030411,,,"Teresa | Green Goblin (Earth-TRN668) (Norman Osborn) | Spider-Man (Earth-TRN668) (Peter Parker)","Jason Keith","Adam Kubert","Jason Keith",,,,,"Chip Zdarsky | Adam Kubert","Devin Lewis | Kathleen Wisneski | Thomas Groneman | Nick Lowe","C.B. Cebulski","Adam Kubert",,"Travis Lanham",,"Adam Kubert",,,,,"Chip Zdarsky"
